"","X","T8724","X3720","X7910","F2673","T1820","F8903","F6962","T8546","T2100","F6350","F3892","T2413","F9135","R3221","X8719","R7919","R9150","F2601","R8774","T4070","R3762","T6591","F8011","T5062","R5657","T5282","F0763","X7790","T5177","T4954"
"1038","P43243_S598",0.8823529412,-0.5294117647,0.1568627451,-0.2941176471,-0.4117647059,-0.09803921569,0.3333333333,-0.03921568627,1.117647059,0.3529411765,-0.137254902,0.7058823529,0.6470588235,1.117647059,0.137254902,-1.588235294,-0.09803921569,-0.8235294118,-0.4117647059,-0.4901960784,0.3333333333,0.1764705882,-0.3725490196,-1.019607843,-1.725490196,-1.568627451,-1.156862745,-0.9215686275,0.8235294118,-1.058823529
"1039","Q96JM3_S405",0.3333333333,0.7647058824,-0.8431372549,-0.05882352941,0.1960784314,0.568627451,0.5098039216,0.5490196078,-0.5098039216,0.09803921569,-0.05882352941,-0.8823529412,0.6078431373,0.09803921569,0.3725490196,-0.2549019608,0.862745098,-1.352941176,-0.5098039216,0.01960784314,-0.2745098039,0.1568627451,0.01960784314,-0.3137254902,-0.7450980392,-1.784313725,-0.4117647059,-0.6274509804,-0.3921568627,0.3137254902
"1040","P43405_Y352",-0.6274509804,0.431372549,-0.1764705882,-0.2352941176,0.8235294118,-1.352941176,-0.3529411765,0.2549019608,-2.196078431,0.568627451,-1.078431373,-1.68627451,-0.8823529412,-2.450980392,0.3921568627,0.07843137255,-1.274509804,-0.3529411765,0.7647058824,-0.09803921569,-0.2156862745,0.2352941176,-0.3725490196,1.607843137,0.05882352941,-0.1764705882,0.03921568627,0.1764705882,-0.137254902,0.9019607843
"1041","P29692_S133",-2.725490196,-0.4509803922,-1,0.2549019608,0.05882352941,0.2156862745,-0.4117647059,-0.3333333333,0.2745098039,0.8431372549,0.1960784314,-1.235294118,-1.705882353,-1.098039216,-3.392156863,0.6666666667,-3.62745098,0.2156862745,-0.8039215686,-1.058823529,0.568627451,-0.7058823529,0.5490196078,0.9215686275,0.7254901961,0.5490196078,0.3725490196,-1.078431373,0.6666666667,1.274509804
"1042","P16949_S25",0.5098039216,-0.2941176471,-0.2941176471,-0.6078431373,-0.7843137255,0.3333333333,-1.058823529,-0.5294117647,-2.705882353,0.2549019608,0.2941176471,-0.6470588235,-0.9411764706,-2.450980392,-2.450980392,0.8235294118,-1.568627451,0.6862745098,0.01960784314,1.568627451,-0.8039215686,-1.254901961,0.4117647059,0.4901960784,0.2352941176,0.1960784314,0.5490196078,0.8235294118,-0.568627451,0.6470588235
"1043","P11831_S224",-0.2941176471,0.1568627451,-0.3725490196,-0.07843137255,0.2549019608,0.6862745098,0.2745098039,0.2352941176,0.05882352941,-1.294117647,0.1176470588,0.3333333333,-0.137254902,0.1176470588,0.6666666667,-0.5490196078,1.666666667,-0.1568627451,0.4117647059,-0.2941176471,-0.2941176471,-1.960784314,0.07843137255,-1.31372549,-1.058823529,-0.137254902,-0.5882352941,-0.7450980392,-0.1960784314,-0.2941176471
"1044","Q9UKJ3_S1065",-0.7254901961,0.431372549,-0.2156862745,0.09803921569,0.431372549,-0.1960784314,-0.1764705882,-0.2352941176,-0.4117647059,-0.03921568627,0.03921568627,-0.6470588235,-0.09803921569,-0.568627451,-1.215686275,0.1764705882,-0.2156862745,0.09803921569,0.2156862745,-0.8431372549,0.5882352941,0.137254902,0.137254902,0.4117647059,0.3725490196,0.09803921569,-0.5098039216,-0.1960784314,0.5490196078,0.5490196078
"1045","O96019_S233",-0.4117647059,0.1568627451,-1,-0.1764705882,0.431372549,0.7647058824,0.2941176471,0.2941176471,0.4705882353,-0.2745098039,-0.05882352941,1.431372549,0.1764705882,-0.3529411765,1.31372549,-0.6666666667,0.5098039216,-1.098039216,-0.2352941176,0.137254902,-5,1.117647059,-0.568627451,-1.019607843,-0.862745098,-1.490196078,-0.8431372549,-1.137254902,-0.6666666667,-0.6078431373
"1046","Q96RK0_S173",0.2549019608,-0.01960784314,0,-0.2941176471,-0.07843137255,-0.05882352941,-1.117647059,-0.9019607843,-1.294117647,-1.137254902,0.09803921569,-1.078431373,-0.05882352941,-1.039215686,-0.1960784314,-0.137254902,1.235294118,-0.7254901961,0.07843137255,0.2352941176,0.137254902,1.117647059,0.4117647059,0.1568627451,0.1764705882,0.1764705882,-0.05882352941,0.1960784314,-0.3725490196,0.5098039216
"1047","O95785_S1017",-0.3529411765,-0.07843137255,-0.05882352941,0,0.2745098039,-0.2941176471,0.1764705882,-0.01960784314,0.1568627451,0.1764705882,0.8039215686,-0.5098039216,0.5882352941,0.5490196078,0.8235294118,-1.098039216,1.62745098,-0.8235294118,0.3725490196,-0.5882352941,0.4705882353,0.5098039216,0.137254902,-1.647058824,-2.490196078,-1.62745098,-1.137254902,-2.921568627,-0.03921568627,-1.450980392
"1048","P15408_S200",0.03921568627,-0.137254902,-1.549019608,-0.137254902,-0.6274509804,-0.9019607843,-0.5882352941,-0.7058823529,-0.7450980392,-4.294117647,0.6470588235,-0.8823529412,-0.3921568627,-0.6078431373,-0.07843137255,-1.137254902,1.470588235,-1.392156863,0.8235294118,0.3725490196,0.137254902,-0.3725490196,1.294117647,0.8235294118,-0.4117647059,1.098039216,0.03921568627,-0.2745098039,-0.8039215686,0.1960784314
"1049","Q9H6F5_S58",0.3333333333,0.3137254902,-0.3529411765,0.9215686275,-0.2352941176,0,0.09803921569,-0.1960784314,0.3725490196,1.215686275,0.137254902,-0.9607843137,-0.05882352941,-1.137254902,0.7058823529,-0.6666666667,1.62745098,-0.9019607843,0,-1.078431373,0.3333333333,-0.5490196078,0.1764705882,-1.784313725,-1.294117647,-0.9803921569,-1.274509804,-2.68627451,0.3921568627,-0.2549019608
"1050","Q9Y6G9_S207",0.4117647059,-0.1960784314,0.09803921569,-0.01960784314,0.2745098039,0.7058823529,-0.6078431373,0.137254902,-0.4901960784,1.235294118,0.9215686275,-0.5294117647,-0.1960784314,-0.5294117647,-1.058823529,0.6666666667,0.9019607843,-0.3333333333,-0.3137254902,0.8039215686,-0.9803921569,-1.37254902,-0.4509803922,-0.8039215686,-0.5490196078,-0.2745098039,-0.862745098,0.1764705882,-0.5294117647,-0.7843137255
"1051","Q9C073_S207",-0.2352941176,0.431372549,0.6470588235,0.3137254902,0.9215686275,0.1176470588,0.1568627451,-0.6078431373,1.37254902,-0.1176470588,-0.1764705882,0.6274509804,0.2745098039,0.3725490196,-2.803921569,-0.2352941176,-2.549019608,1,-0.2352941176,-1.156862745,0.7058823529,0.7647058824,-1.68627451,-0.9411764706,-1.31372549,-1,-0.7450980392,-1.941176471,-0.1568627451,-0.9215686275
"1052","P85037_S213",-0.862745098,0.8431372549,0.03921568627,-0.8235294118,-0.4705882353,0.137254902,0.1568627451,0.7647058824,-0.05882352941,-0.5882352941,-0.7254901961,0.5294117647,-0.2352941176,-1.529411765,-2.509803922,-0.6862745098,-1.862745098,-2.058823529,0.137254902,0.7647058824,0.2941176471,1.62745098,0.4901960784,-0.3333333333,-0.2352941176,-0.01960784314,0.2549019608,-0.3529411765,0,0.1764705882
"1053","Q15424_S601",0.3921568627,-0.03921568627,-0.8039215686,0.862745098,0.1960784314,0.5882352941,0.3921568627,0.3921568627,0.4509803922,-0.01960784314,-0.6862745098,0.3333333333,0.431372549,1.117647059,1.176470588,-1.333333333,-1.450980392,-0.6666666667,0.2352941176,-0.07843137255,-1.156862745,1.117647059,-0.8235294118,-1.490196078,-2,-0.9411764706,-1.941176471,-1.549019608,0.2352941176,-1.294117647
"1054","Q15424_S604",0.3921568627,-0.03921568627,-0.8039215686,0.862745098,0.1960784314,0.5882352941,0.3921568627,0.3921568627,0.4509803922,-0.01960784314,-0.6862745098,0.3333333333,0.431372549,1.117647059,1.176470588,-1.333333333,-1.450980392,-0.6666666667,0.2352941176,-0.07843137255,-1.156862745,1.117647059,-0.8235294118,-1.490196078,-2,-0.9411764706,-1.941176471,-1.549019608,0.2352941176,-1.294117647
"1055","Q86UX7_Y504",-0.01960784314,0.5294117647,0.3921568627,-0.3333333333,0.2156862745,0.4705882353,-0.7843137255,0.8039215686,0.5882352941,-0.1764705882,-0.3921568627,0.5294117647,-0.1568627451,-0.6078431373,0.5294117647,-0.568627451,0.3137254902,0.09803921569,-0.4509803922,-1.039215686,0.3725490196,-0.4901960784,0,0.1960784314,-1.294117647,-1.274509804,-0.3725490196,-0.09803921569,-0.09803921569,0.2549019608
"1056","Q04727_S292",0.09803921569,-0.01960784314,0.3725490196,-0.3529411765,-0.5882352941,-0.03921568627,-0.4509803922,0.8823529412,0.3137254902,-1.176470588,-0.1568627451,0.431372549,-0.5490196078,-0.4705882353,-1.843137255,-0.2352941176,-0.9019607843,-1.37254902,0.9803921569,0.3333333333,0.4117647059,-0.1176470588,0.3333333333,0.05882352941,0.07843137255,0.03921568627,-0.1764705882,0.07843137255,-0.5882352941,0.8431372549
"1057","Q8IYB3_S713",-0.3725490196,0.568627451,-0.4117647059,0.2745098039,0.7254901961,0.05882352941,0.4117647059,0.7058823529,0.6470588235,0.2745098039,0.2549019608,0.4117647059,0.2941176471,0.5490196078,-0.05882352941,-0.9607843137,-0.8431372549,-1.137254902,-0.3137254902,-1.098039216,0.3137254902,-2.058823529,0.2352941176,-1.019607843,-0.5098039216,-0.2352941176,-0.5294117647,-1.980392157,0.5098039216,0.3921568627
"1058","P53396_S481",0.2156862745,0.8823529412,0.2941176471,0.2549019608,0.4705882353,0.3529411765,0.3725490196,0.3725490196,-0.2352941176,-0.3725490196,1.254901961,-0.5294117647,-0.137254902,-0.6666666667,0.6862745098,-1.333333333,-0.137254902,0.05882352941,-0.7450980392,-0.6666666667,0.7058823529,-0.3725490196,0.7450980392,-1.392156863,-2.529411765,-0.7843137255,-1.607843137,-0.862745098,0.4509803922,-1.333333333
"1059","P16949_S25",0.6274509804,-0.01960784314,-0.1960784314,-0.4705882353,-1.411764706,0.3529411765,-1,-0.8039215686,-3.058823529,0.3725490196,0.7058823529,-0.7843137255,-0.5882352941,-2.568627451,-4.941176471,0.2941176471,-1.68627451,0.4901960784,-0.5098039216,1.666666667,-1.37254902,0.2549019608,0.9215686275,0.137254902,-0.137254902,0.01960784314,0.4901960784,0.9215686275,-1.039215686,0.6470588235
"1060","Q8NFC6_S800",-0.6862745098,0.3333333333,-0.1960784314,-0.5490196078,-0.3921568627,-1.254901961,-1.235294118,-1.274509804,-2.745098039,0.4117647059,0.6862745098,-1.588235294,-0.6862745098,-1.098039216,-0.5098039216,0.09803921569,1.431372549,-1.352941176,0.4705882353,-0.3921568627,-0.1176470588,0.8431372549,0.7843137255,0.4509803922,0.03921568627,-0.01960784314,0.6470588235,0.01960784314,0.8431372549,-0.2549019608
"1061","Q8IYB3_S616",-0.6862745098,-0.1568627451,-0.03921568627,-0.1960784314,0.1568627451,0.05882352941,-0.07843137255,-0.1960784314,0.431372549,0.5294117647,0.3137254902,0.6274509804,-0.07843137255,0.4117647059,1.058823529,-0.4705882353,0.03921568627,-0.03921568627,0,-0.8431372549,0.6274509804,-1.392156863,-0.3137254902,0,-1.176470588,-0.2352941176,-0.2352941176,-1.137254902,0.1960784314,-0.137254902
"1062","Q5T200_S986",-0.07843137255,0.3333333333,0.01960784314,0.137254902,-0.6470588235,0.4901960784,0.2549019608,0.3333333333,0.431372549,0.07843137255,-0.7058823529,0.1176470588,0.7254901961,0.5882352941,0.7647058824,-1.176470588,-0.9607843137,0.4117647059,-0.2941176471,0.2941176471,-0.5490196078,0.5882352941,-0.4509803922,-0.6666666667,-0.8235294118,-0.2745098039,-1,-1.117647059,-0.1568627451,0.137254902
"1063","Q9NWB6_S77",-0.2156862745,0.3921568627,-0.3529411765,0.1176470588,-0.2156862745,0.3921568627,0.5882352941,0.1960784314,0.7647058824,-0.09803921569,0.6470588235,0.568627451,0.7254901961,0.4509803922,0.1568627451,-0.8235294118,-0.568627451,-0.9607843137,-0.431372549,-0.5098039216,0.568627451,-2.058823529,0.8039215686,-1.058823529,-1.607843137,0.05882352941,-0.568627451,-1.137254902,-0.05882352941,-0.431372549
"1064","P11274_S122",1.137254902,-0.3333333333,0.9215686275,-0.09803921569,0.137254902,0.2941176471,0.2941176471,-0.2549019608,0.137254902,-0.1960784314,-0.07843137255,0.6666666667,1.490196078,0.6470588235,-5,-1.117647059,0.5294117647,-0.7058823529,0.07843137255,0.7843137255,-0.2352941176,0.3529411765,-0.8431372549,-3.078431373,-2.117647059,-1.882352941,-2.137254902,-1.725490196,0.4705882353,-1.568627451
"1065","Q13428_S381",-0.3725490196,-0.3725490196,-0.2941176471,-0.2549019608,-1.039215686,0.09803921569,0.1764705882,-1.431372549,1.62745098,0.9803921569,0.9607843137,0.3529411765,0.431372549,0.9019607843,-0.7843137255,-1.921568627,0.8235294118,0.3137254902,-0.4705882353,-0.3725490196,0.2941176471,-0.431372549,0.7058823529,-1.156862745,-1.862745098,-1.156862745,-0.8235294118,-1.31372549,-0.1176470588,-2.078431373
"1066","Q9NYF8_S658",0.1960784314,0.5490196078,0.03921568627,0.2745098039,-0.6862745098,0.09803921569,0.4705882353,0.07843137255,-0.5882352941,0.2941176471,0.6470588235,-0.3529411765,0.5294117647,0.137254902,1.509803922,-0.7647058824,-0.2549019608,-0.6078431373,0.1960784314,-0.2352941176,-0.2941176471,-0.5490196078,0.5490196078,-1.588235294,-1.470588235,0,-0.3137254902,-1.450980392,-0.6862745098,-0.2156862745
"1067","Q9HCH5_T711",-2.392156863,0,-0.07843137255,-1.058823529,-1.235294118,-1.882352941,-0.7254901961,-0.1176470588,-2.31372549,0.6862745098,1.176470588,-3.352941176,-0.3137254902,-1.607843137,0.4117647059,0.9019607843,0.2745098039,-2.294117647,0.3333333333,-0.4705882353,0.6078431373,-0.2745098039,-0.07843137255,0.5294117647,0.7058823529,0.2156862745,0.9215686275,0.4901960784,-0.5098039216,0.8039215686
"1068","Q96EV2_S973",-1.196078431,-0.9019607843,0.1568627451,-0.5882352941,-0.5098039216,-0.2941176471,-1.137254902,-0.6666666667,0.09803921569,-0.2352941176,0.137254902,-1.254901961,-0.1176470588,-0.8235294118,0.2352941176,-0.1960784314,1.196078431,-1.882352941,-0.1764705882,0.01960784314,0.3725490196,1.666666667,-0.4117647059,0.09803921569,0.1960784314,-0.01960784314,0.2941176471,0.1568627451,0.4901960784,0.03921568627
"1069","Q96RU3_S497",-0.862745098,0.5098039216,-0.2352941176,-0.9411764706,0.07843137255,-2.62745098,-1.333333333,-1.137254902,-0.5490196078,0.1764705882,-0.7450980392,0.3921568627,-1.156862745,-1.176470588,0.3725490196,0.3333333333,0.4509803922,-1.196078431,1.784313725,-1.215686275,0.4117647059,-1.294117647,-1.666666667,-0.3725490196,0.9607843137,0.2745098039,0.5294117647,0.7450980392,0.2352941176,0.568627451
"1070","Q92769_S394",-0.2352941176,-0.3333333333,-0.137254902,-0.2352941176,-0.8039215686,0.3529411765,-0.6078431373,0.1764705882,0.2352941176,0.6862745098,1.019607843,0.137254902,0.8431372549,0.9607843137,0.3529411765,-1.098039216,0.5098039216,-0.431372549,-0.2745098039,0.6470588235,0.3725490196,-1.470588235,0.09803921569,-0.5490196078,-1.588235294,-1.705882353,-0.8823529412,-0.7058823529,0.137254902,-0.4509803922
"1071","Q9Y2V2_S52",0.3921568627,-0.7254901961,-0.9607843137,-0.3921568627,-1.117647059,0.2156862745,-1.156862745,-0.7450980392,-1.62745098,-0.4705882353,-0.2941176471,-1.764705882,-0.6666666667,-0.7843137255,-2.137254902,1,-1.529411765,1.470588235,-0.05882352941,0.3137254902,-0.01960784314,-1.235294118,0.8823529412,1.196078431,0.4117647059,0.6274509804,0.137254902,0.5882352941,-0.2549019608,0.4705882353
"1072","Q9Y608_S324",0.6862745098,0.2941176471,0.8039215686,0.4901960784,1.450980392,0.05882352941,-0.2156862745,0.4509803922,-0.1960784314,-0.9019607843,-0.4901960784,0.1176470588,-0.5098039216,0.1568627451,-0.862745098,-0.3725490196,-0.7254901961,0.7843137255,0.4705882353,-0.4117647059,0.1764705882,-1.235294118,-0.5882352941,-0.431372549,-0.6274509804,-0.3725490196,-0.6862745098,-1.196078431,-0.2941176471,-0.137254902
"1073","Q96EV2_S765",-0.8823529412,-0.137254902,-0.137254902,0.3137254902,0.1568627451,0.05882352941,0.4705882353,0.2549019608,0.6470588235,0.1568627451,0.09803921569,0,0.4509803922,0.07843137255,0.6470588235,-0.4117647059,0.2745098039,-0.431372549,-0.2549019608,-0.6666666667,0.7058823529,-1.058823529,0.1568627451,-0.2941176471,-0.7647058824,-0.5490196078,-0.2156862745,-1.274509804,0.5098039216,-0.431372549
"1074","Q8IYB3_S605",0.2745098039,0.7647058824,0.07843137255,-0.6470588235,-1.235294118,0.5490196078,0.7843137255,-0.05882352941,0.5490196078,0.4117647059,0.3529411765,0.9607843137,0.7254901961,0.4901960784,0.2745098039,-2.450980392,-0.6862745098,-0.6470588235,0.01960784314,0.2156862745,-1.862745098,1.078431373,-0.2941176471,-1.254901961,-1.784313725,-0.1176470588,-0.8039215686,-0.7058823529,-1.784313725,-0.7058823529
"1075","Q8IYB3_S607",0.2745098039,0.7647058824,0.07843137255,-0.6470588235,-1.235294118,0.5490196078,0.7843137255,-0.05882352941,0.5490196078,0.4117647059,0.3529411765,0.9607843137,0.7254901961,0.4901960784,0.2745098039,-2.450980392,-0.6862745098,-0.6470588235,0.01960784314,0.2156862745,-1.862745098,1.078431373,-0.2941176471,-1.254901961,-1.784313725,-0.1176470588,-0.8039215686,-0.7058823529,-1.784313725,-0.7058823529
"1076","Q8IZP0_S222",-0.2156862745,-1.37254902,-0.03921568627,-1.745098039,-0.2156862745,-1.588235294,-0.2156862745,-0.2549019608,-1.235294118,-0.137254902,1.117647059,-0.431372549,-0.1960784314,0.07843137255,-2.215686275,-0.4901960784,0.9019607843,-1.803921569,-1.68627451,-1,0.8039215686,0.01960784314,0.2745098039,1.274509804,0.5490196078,-1.235294118,0.9803921569,0.9019607843,0.5294117647,-0.05882352941
"1077","Q01543_S241",0.8039215686,-0.7058823529,-0.05882352941,1.156862745,0.3921568627,1.215686275,-0.3529411765,-2.117647059,0.8039215686,-1.392156863,-0.2352941176,1.392156863,-0.4901960784,0.9411764706,-0.3333333333,-2.431372549,0.9019607843,-1.509803922,-1.588235294,-0.9215686275,-0.431372549,-0.3725490196,-0.3921568627,-0.5294117647,-0.5294117647,0.2549019608,0.1960784314,-0.5882352941,-1.529411765,-1.019607843
"1078","Q9UQ35_S994",-0.01960784314,0.1764705882,-0.1176470588,0.4509803922,0.4117647059,0.2156862745,0.7843137255,-0.1960784314,0.2352941176,0.3921568627,-0.03921568627,0.2156862745,0.3137254902,-0.1568627451,0.2549019608,-0.3529411765,-0.5882352941,-0.4901960784,-0.1568627451,-0.1960784314,0.1960784314,-0.4901960784,0.7058823529,-0.9411764706,-0.8039215686,-0.1764705882,-0.2745098039,-0.6862745098,-0.137254902,-0.2941176471
"1079","Q9NQG5_S134",-0.3529411765,0,0.03921568627,0.05882352941,0.9019607843,0.6274509804,0.3333333333,0.2941176471,0.6274509804,-0.8431372549,-0.3137254902,0.4901960784,0.1176470588,0.3137254902,0.3333333333,-0.03921568627,-1.235294118,-0.2156862745,-0.5098039216,-0.4117647059,0.4705882353,-0.5294117647,-0.5294117647,-0.137254902,-0.6666666667,-0.6078431373,-0.568627451,-0.862745098,0.5098039216,0.03921568627
"1080","Q9UQ35_S2581",-0.4117647059,0.09803921569,-0.4705882353,0.4117647059,-0.03921568627,0.5098039216,0.5490196078,-0.01960784314,0.2352941176,0.5882352941,0.4705882353,0.01960784314,0.2352941176,0,0.9019607843,-1.254901961,-0.3137254902,-0.1764705882,-0.1176470588,-0.4117647059,0.1176470588,-1.117647059,0.7647058824,-1.039215686,-0.8431372549,-0.01960784314,-0.2941176471,-0.6078431373,-0.137254902,-0.4705882353
"1081","Q96T37_T568",0.5490196078,0.5882352941,0.05882352941,0.3333333333,-0.2941176471,-0.2941176471,0.3725490196,0.4117647059,-0.7843137255,0.1568627451,-0.05882352941,-0.2941176471,-0.01960784314,0.1176470588,0.6862745098,-0.4117647059,0.5098039216,-0.1568627451,0.137254902,0.2156862745,0.1568627451,0.07843137255,0.3921568627,-1.254901961,-1.078431373,-0.2156862745,-0.862745098,-1.31372549,0.07843137255,-0.431372549
"1082","Q9NYF8_S512",0.2745098039,0.3921568627,0.05882352941,-0.07843137255,0.1176470588,0.01960784314,0.7843137255,0.1176470588,-0.5490196078,0.5882352941,0.07843137255,0.1764705882,-0.3529411765,-0.5490196078,1.549019608,-0.2156862745,-0.4117647059,-0.3529411765,0.6274509804,0.03921568627,-0.3137254902,-0.7450980392,-0.07843137255,-1.705882353,-0.8431372549,0.1176470588,-0.6862745098,-1,-0.7058823529,-0.3529411765
"1083","Q8TF01_S211",1.509803922,0.6078431373,0.5490196078,0.5098039216,-0.4509803922,0.6078431373,-0.05882352941,-1.392156863,0.4901960784,-1.039215686,-0.4117647059,1.333333333,0.07843137255,-0.2156862745,0.2352941176,-0.9215686275,-0.1764705882,-0.7450980392,0.2549019608,-0.5098039216,-0.4509803922,-0.01960784314,-0.7843137255,-2.137254902,-0.2745098039,0.3137254902,-0.3529411765,-1.019607843,-1.058823529,-0.7058823529
"1084","P23497_S18",-0.03921568627,0.5098039216,0.3921568627,-0.3137254902,0.2549019608,0.4901960784,-0.7843137255,0.8039215686,0.568627451,-0.1960784314,-0.7843137255,0.5490196078,-0.1568627451,-0.5882352941,0.5294117647,-0.5490196078,0.3529411765,0.137254902,-0.4117647059,-0.9607843137,0.3725490196,-0.4705882353,-0.01960784314,0.1960784314,-1.196078431,-1.235294118,-0.3725490196,-0.09803921569,-0.07843137255,0.2352941176
"1085","Q13884_S219",-0.4901960784,-0.01960784314,-0.2549019608,-0.2549019608,0.7843137255,0.3725490196,0.07843137255,0.2549019608,-1.274509804,-0.9411764706,0.01960784314,0.3333333333,-1.215686275,-1.294117647,-3.411764706,-1,0.9019607843,-1.098039216,-0.7450980392,0.137254902,0.4117647059,0.7254901961,0.7254901961,0.3921568627,0.2745098039,0.1176470588,0.1960784314,0.01960784314,-0.3921568627,0.6274509804
"1086","P10398_S582",-0.5882352941,0.09803921569,-0.4705882353,-0.03921568627,0.6862745098,0.07843137255,0.1960784314,0.2156862745,-0.431372549,-0.2941176471,0.2352941176,-0.4901960784,-0.09803921569,-1.294117647,-0.9215686275,-0.5882352941,-0.431372549,0.2352941176,0.3137254902,-0.568627451,-0.01960784314,-0.8431372549,0.3921568627,0.6470588235,0.09803921569,0.3529411765,0.1764705882,0.1568627451,0.568627451,0.3529411765
"1087","Q8TEB9_S314",-2.882352941,-0.09803921569,-0.1176470588,-0.7450980392,-0.6274509804,-1.117647059,-0.3333333333,0.5098039216,-1.803921569,0.3725490196,0.2156862745,-1.156862745,-0.7647058824,-1.274509804,0.6470588235,0.01960784314,1.156862745,-1.509803922,-0.3333333333,0.2549019608,0.1176470588,0.7254901961,0.9607843137,-0.4509803922,-0.09803921569,0.4509803922,0.07843137255,0.3529411765,0.8431372549,-0.137254902
"1088","Q9UQ35_S1320",-0.2352941176,0.3333333333,0.1960784314,0.3137254902,0.05882352941,0.3333333333,0.431372549,0.4509803922,-0.1176470588,0.4117647059,-1.68627451,1.215686275,-0.4705882353,0.3725490196,1.215686275,-0.1764705882,-2.156862745,-0.5098039216,-0.137254902,-0.01960784314,0.07843137255,-1.058823529,-0.137254902,-1.725490196,-0.3137254902,-0.03921568627,-0.7058823529,-0.4117647059,-0.2941176471,-0.2352941176
"1089","Q9UQ35_S1329",-0.2352941176,0.3333333333,0.1960784314,0.3137254902,0.05882352941,0.3333333333,0.431372549,0.4509803922,-0.1176470588,0.4117647059,-1.68627451,1.215686275,-0.4705882353,0.3725490196,1.215686275,-0.1764705882,-2.156862745,-0.5098039216,-0.137254902,-0.01960784314,0.07843137255,-1.058823529,-0.137254902,-1.725490196,-0.3137254902,-0.03921568627,-0.7058823529,-0.4117647059,-0.2941176471,-0.2352941176
"1090","Q92945_S274",-2.274509804,0.2549019608,-0.3725490196,-1.019607843,-0.8823529412,-1.705882353,-0.4117647059,-0.3529411765,-1.941176471,0.9411764706,1.31372549,-4.176470588,0.5490196078,-3.333333333,-0.137254902,0.431372549,-0.4509803922,-5,1,0.05882352941,1.196078431,0.2352941176,-0.8039215686,-1.31372549,0.7843137255,-0.1568627451,0.6666666667,-0.3333333333,0.2941176471,0.9803921569
"1091","Q6ZV29_S1288",-1.666666667,-0.9215686275,0.8039215686,-0.7058823529,-1.921568627,-0.4705882353,-0.3333333333,-0.03921568627,-0.7647058824,0.3137254902,0.3137254902,-0.05882352941,0.01960784314,-0.6666666667,-5,-0.5882352941,0.7254901961,-3.980392157,-1.058823529,0.9411764706,-0.1176470588,1.784313725,-0.6666666667,-0.4901960784,0.9607843137,-0.8235294118,0.568627451,1.196078431,0.2745098039,-1.549019608
"1092","Q99733_S125",0.09803921569,-2.411764706,0.8039215686,0.2941176471,0.9607843137,0.5098039216,0.7450980392,0.1764705882,0,0.2549019608,-0.8431372549,0.6666666667,-0.05882352941,0.2745098039,-2.509803922,0.07843137255,-4.941176471,1.764705882,-1.019607843,0.3921568627,-0.5882352941,-0.6862745098,-1.196078431,-0.01960784314,-1.764705882,-1.764705882,0.1568627451,-0.6078431373,-0.2549019608,-0.4705882353
"1093","Q9ULU4_S490",1,0.1764705882,0.137254902,0.5098039216,-0.3529411765,-0.09803921569,0.4705882353,-0.2352941176,0.8235294118,-0.1960784314,-0.5490196078,0.2745098039,0.05882352941,-0.2156862745,0.431372549,-0.8235294118,0.7254901961,-0.9019607843,0.09803921569,-0.4901960784,0.03921568627,-0.137254902,0.5294117647,-1.274509804,-0.9803921569,-0.3725490196,-0.7254901961,-1.215686275,0.2941176471,-0.431372549
"1094","Q13283_S149",0.1764705882,-1.039215686,0.3725490196,0.1764705882,-0.05882352941,0.4901960784,0.5098039216,-0.03921568627,-0.3529411765,1.019607843,0.03921568627,0.3921568627,0.431372549,0.2156862745,-5,0.2352941176,-0.03921568627,0.8431372549,-0.2941176471,0.8431372549,-0.05882352941,-1.333333333,-0.2745098039,-0.137254902,-2.098039216,-0.6862745098,-0.7254901961,-0.6078431373,0,-0.3725490196
"1095","Q8IYB3_T581",0.5882352941,0.1176470588,-0.2941176471,-0.05882352941,-0.6274509804,0.5098039216,0.2745098039,0.1764705882,1.117647059,0.1960784314,0.09803921569,0.4901960784,0.09803921569,0.6470588235,0.1764705882,-1.078431373,-0.7058823529,-0.7450980392,0.01960784314,0.2156862745,-0.4705882353,-0.4705882353,-0.6274509804,-0.4117647059,-0.6666666667,-0.5098039216,-0.5098039216,-0.4901960784,0.5490196078,-0.3725490196
"1096","Q8IYB3_S583",0.5882352941,0.1176470588,-0.2941176471,-0.05882352941,-0.6274509804,0.5098039216,0.2745098039,0.1764705882,1.117647059,0.1960784314,0.09803921569,0.4901960784,0.09803921569,0.6470588235,0.1764705882,-1.078431373,-0.7058823529,-0.7450980392,0.01960784314,0.2156862745,-0.4705882353,-0.4705882353,-0.6274509804,-0.4117647059,-0.6666666667,-0.5098039216,-0.5098039216,-0.4901960784,0.5490196078,-0.3725490196
"1097","O75676_S745",0.4705882353,-0.7843137255,-0.6078431373,-0.4509803922,-0.2941176471,-0.6078431373,-0.03921568627,0.6862745098,-0.2352941176,0.1764705882,0.4509803922,0.2745098039,-0.2941176471,-0.6274509804,-1.137254902,-1.078431373,-0.2156862745,-0.9411764706,0.2745098039,0.4901960784,1.019607843,0.3529411765,0.1176470588,0.7647058824,-0.1960784314,-1.156862745,-0.01960784314,-0.3725490196,0.8823529412,-0.6470588235
